codigo_fifa,equipo,grupo,prioridad,priority_score,missing_team_fields_count,players_count,slot_gap_to_top8,missing_player_cells,hist_matches_count,md_file,md_sections_count,md_has_jugadores,md_has_noticias,missing_items
CZE,Czechia,A,Critica,55,11,3,5,15,0,czechia.md,4,0,0,"team:ranking_fifa,dt,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
ECU,Ecuador,E,Critica,55,10,3,5,15,0,ecuador.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
EGY,Egypt,G,Critica,55,10,3,5,15,0,egypt.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
ENG,England,L,Critica,55,9,3,5,15,0,england.md,4,0,0,"team:esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
FRA,France,I,Critica,55,9,3,5,15,0,france.md,4,0,0,"team:esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
GER,Germany,E,Critica,55,9,3,5,15,0,germany.md,4,0,0,"team:esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
GHA,Ghana,L,Critica,55,10,3,5,15,0,ghana.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
HAI,Haiti,C,Critica,55,10,3,5,15,0,haiti.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
IRN,IR Iran,G,Critica,55,10,3,5,15,0,ir_iran.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
IRQ,Iraq,I,Critica,55,10,3,5,15,0,iraq.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
JPN,Japan,F,Critica,55,10,3,5,15,0,japan.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
JOR,Jordan,J,Critica,55,10,3,5,15,0,jordan.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
KOR,Korea Republic,A,Critica,55,10,3,5,15,0,korea_republic.md,4,0,0,"team:ranking_fifa,esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
NED,Netherlands,F,Critica,55,9,3,5,15,0,netherlands.md,4,0,0,"team:esquema_tactico,goles_favor,goles_contra,xg,xga,ppda,posesion_prom,pases_progresivos,efectividad_set_pieces | jugadores_faltan_slots_top8:5 | jugadores_celdas_nulas:15 | historial_partidos:0 | md_sin_jugadores | md_sin_noticias"
